2024-11-24 07:50:57.622 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#5f5297e3:0/SimpleConnection@66e1b2a [delegate=amqp://root@127.0.0.1:5672/, localPort=39198]
2024-11-24 07:50:57.660 [main] INFO  com.gtcafe.asimov.consumer.Main - Started Main in 1.511 seconds (process running for 1.666)
2024-11-24 07:50:57.682 [pool-3-thread-5] WARN  o.s.a.r.l.BlockingQueueConsumer - Cancel received for amq.ctag-AjJSPGEP2TDLNHGXMy5Txg (asimov.platform.hello); Consumer@6068ebb2: tags=[[amq.ctag-AjJSPGEP2TDLNHGXMy5Txg]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,1), conn: Proxy@298263fa Shared Rabbit Connection: SimpleConnection@66e1b2a [delegate=amqp://root@127.0.0.1:5672/, localPort=39198], acknowledgeMode=AUTO local queue size=0
2024-11-24 07:50:57.685 [pool-3-thread-6] WARN  o.s.a.r.l.BlockingQueueConsumer - Cancel received for amq.ctag-NapFRaDF3ktunqkP5R8qMA (asimov.platform.tenant); Consumer@1760e594: tags=[[amq.ctag-NapFRaDF3ktunqkP5R8qMA]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,2), conn: Proxy@298263fa Shared Rabbit Connection: SimpleConnection@66e1b2a [delegate=amqp://root@127.0.0.1:5672/, localPort=39198], acknowledgeMode=AUTO local queue size=0
2024-11-24 07:50:58.654 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.rabbit.support.ConsumerCancelledException
2024-11-24 07:50:58.649 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.rabbit.support.ConsumerCancelledException
2024-11-24 07:50:58.662 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@6068ebb2: tags=[[]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,1), conn: Proxy@298263fa Shared Rabbit Connection: SimpleConnection@66e1b2a [delegate=amqp://root@127.0.0.1:5672/, localPort=39198], acknowledgeMode=AUTO local queue size=0
2024-11-24 07:50:58.672 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1760e594: tags=[[]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,2), conn: Proxy@298263fa Shared Rabbit Connection: SimpleConnection@66e1b2a [delegate=amqp://root@127.0.0.1:5672/, localPort=39198], acknowledgeMode=AUTO local queue size=0
2024-11-24 07:51:57.085 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-3] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Waiting for workers to finish.
2024-11-24 07:51:57.088 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-3] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Waiting for workers to finish.
2024-11-24 07:51:57.801 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-3] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2024-11-24 07:51:57.802 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-3] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2024-11-24 07:51:57.804 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
